Nº SETOR;MUNICIPIO;Nº DOMICILIOS 2000;Nº DOMICILIOS 2004; v;TAXA  OCUPAÇÃO;b;Unnamed: 7;TOTAL;PULO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;ID_;MUNICIP;ESTADO;MACRO;MICRO;ORDEM_MICR;AREAKM2;POP2007;POP15MAIS;Sexo;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Total
310620005680070.0;Belo Horizonte;271.0;792.0;600.0;0.758;28.0;59.0;61.0;13.0;8.0;21.0;34.0;47.0;60.0;73.0;86.0;99.0;112.0;125.0;138.0;151.0;164.0;177.0;190.0;203.0;216.0;229.0;242.0;255.0;268.0;281.0;294.0;307.0;320.0;333.0;346.0;359.0;372.0;385.0;398.0;411.0;424.0;437.0;450.0;463.0;476.0;489.0;502.0;515.0;528.0;541.0;554.0;567.0;580.0;593.0;606.0;619.0;632.0;645.0;658.0;671.0;684.0;697.0;710.0;723.0;736.0;749.0;762.0;775.0;788.0;;;;;;;;;;;;;;;;;;;;;;;
310620005640033.0;Belo Horizonte;280.0;206.0;203.0;0.985;7.0;15.0;15.0;14.0;3.0;17.0;31.0;45.0;59.0;73.0;87.0;101.0;115.0;129.0;143.0;157.0;171.0;185.0;199.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005640024.0;Belo Horizonte;184.0;197.0;187.0;0.949;10.0;21.0;22.0;9.0;8.0;17.0;26.0;35.0;44.0;53.0;62.0;71.0;80.0;89.0;98.0;107.0;116.0;125.0;134.0;143.0;152.0;161.0;170.0;179.0;188.0;197.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005640031.0;Belo Horizonte;267.0;298.0;274.0;0.919;11.0;23.0;23.0;13.0;5.0;18.0;31.0;44.0;57.0;70.0;83.0;96.0;109.0;122.0;135.0;148.0;161.0;174.0;187.0;200.0;213.0;226.0;239.0;252.0;265.0;278.0;291.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005640079.0;Belo Horizonte;326.0;400.0;368.0;0.92;12.0;25.0;25.0;16.0;13.0;29.0;45.0;61.0;77.0;93.0;109.0;125.0;141.0;157.0;173.0;189.0;205.0;221.0;237.0;253.0;269.0;285.0;301.0;317.0;333.0;349.0;365.0;381.0;397.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005630271.0;Belo Horizonte;180.0;210.0;194.0;0.924;11.0;23.0;23.0;9.0;5.0;14.0;23.0;32.0;41.0;50.0;59.0;68.0;77.0;86.0;95.0;104.0;113.0;122.0;131.0;140.0;149.0;158.0;167.0;176.0;185.0;194.0;203.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005630164.0;Belo Horizonte;267.0;304.0;263.0;0.865;11.0;23.0;23.0;13.0;13.0;26.0;39.0;52.0;65.0;78.0;91.0;104.0;117.0;130.0;143.0;156.0;169.0;182.0;195.0;208.0;221.0;234.0;247.0;260.0;273.0;286.0;299.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005630154.0;Belo Horizonte;343.0;402.0;375.0;0.933;11.0;23.0;23.0;17.0;13.0;30.0;47.0;64.0;81.0;98.0;115.0;132.0;149.0;166.0;183.0;200.0;217.0;234.0;251.0;268.0;285.0;302.0;319.0;336.0;353.0;370.0;387.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005630205.0;Belo Horizonte;273.0;322.0;300.0;0.932;12.0;25.0;25.0;13.0;10.0;23.0;36.0;49.0;62.0;75.0;88.0;101.0;114.0;127.0;140.0;153.0;166.0;179.0;192.0;205.0;218.0;231.0;244.0;257.0;270.0;283.0;296.0;309.0;322.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005630046.0;Belo Horizonte;327.0;374.0;362.0;0.968;11.0;23.0;23.0;16.0;16.0;32.0;48.0;64.0;80.0;96.0;112.0;128.0;144.0;160.0;176.0;192.0;208.0;224.0;240.0;256.0;272.0;288.0;304.0;320.0;336.0;352.0;368.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005630223.0;Belo Horizonte;292.0;331.0;316.0;0.955;11.0;23.0;24.0;14.0;3.0;17.0;31.0;45.0;59.0;73.0;87.0;101.0;115.0;129.0;143.0;157.0;171.0;185.0;199.0;213.0;227.0;241.0;255.0;269.0;283.0;297.0;311.0;325.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005630076.0;Belo Horizonte;304.0;365.0;357.0;0.978;11.0;23.0;23.0;16.0;1.0;17.0;33.0;49.0;65.0;81.0;97.0;113.0;129.0;145.0;161.0;177.0;193.0;209.0;225.0;241.0;257.0;273.0;289.0;305.0;321.0;337.0;353.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005630188.0;Belo Horizonte;233.0;287.0;273.0;0.951;11.0;23.0;24.0;12.0;9.0;21.0;33.0;45.0;57.0;69.0;81.0;93.0;105.0;117.0;129.0;141.0;153.0;165.0;177.0;189.0;201.0;213.0;225.0;237.0;249.0;261.0;273.0;285.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005650410.0;Belo Horizonte;293.0;365.0;356.0;0.975;12.0;25.0;25.0;15.0;1.0;16.0;31.0;46.0;61.0;76.0;91.0;106.0;121.0;136.0;151.0;166.0;181.0;196.0;211.0;226.0;241.0;256.0;271.0;286.0;301.0;316.0;331.0;346.0;361.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005650016.0;Belo Horizonte;268.0;325.0;311.0;0.957;11.0;23.0;23.0;14.0;14.0;28.0;42.0;56.0;70.0;84.0;98.0;112.0;126.0;140.0;154.0;168.0;182.0;196.0;210.0;224.0;238.0;252.0;266.0;280.0;294.0;308.0;322.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005650033.0;Belo Horizonte;191.0;206.0;203.0;0.985;10.0;21.0;21.0;10.0;2.0;12.0;22.0;32.0;42.0;52.0;62.0;72.0;82.0;92.0;102.0;112.0;122.0;132.0;142.0;152.0;162.0;172.0;182.0;192.0;202.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005650314.0;Belo Horizonte;316.0;348.0;332.0;0.954;11.0;23.0;24.0;15.0;2.0;17.0;32.0;47.0;62.0;77.0;92.0;107.0;122.0;137.0;152.0;167.0;182.0;197.0;212.0;227.0;242.0;257.0;272.0;287.0;302.0;317.0;332.0;347.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005650240.0;Belo Horizonte;269.0;324.0;294.0;0.907;11.0;23.0;23.0;14.0;14.0;28.0;42.0;56.0;70.0;84.0;98.0;112.0;126.0;140.0;154.0;168.0;182.0;196.0;210.0;224.0;238.0;252.0;266.0;280.0;294.0;308.0;322.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005650193.0;Belo Horizonte;218.0;236.0;217.0;0.919;11.0;23.0;24.0;10.0;4.0;14.0;24.0;34.0;44.0;54.0;64.0;74.0;84.0;94.0;104.0;114.0;124.0;134.0;144.0;154.0;164.0;174.0;184.0;194.0;204.0;214.0;224.0;234.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
310620005650231.0;Belo Horizonte;244.0;277.0;252.0;0.91;10.0;21.0;21.0;13.0;12.0;25.0;38.0;51.0;64.0;77.0;90.0;103.0;116.0;129.0;142.0;155.0;168.0;181.0;194.0;207.0;220.0;233.0;246.0;259.0;272.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;
